iter	Passed	Remaining
709	1099	449
710	1100	447
711	1102	446
712	1104	444
713	1105	442
714	1107	441
715	1108	439
716	1111	438
717	1112	437
718	1114	435
719	1115	433
720	1117	432
721	1118	430
722	1119	428
723	1121	427
724	1122	425
725	1123	424
726	1125	422
727	1127	421
728	1129	419
729	1130	418
730	1132	416
731	1133	414
732	1134	413
733	1135	411
734	1136	409
735	1137	408
736	1139	406
737	1140	404
738	1142	403
739	1143	401
740	1145	400
741	1146	398
742	1148	397
743	1149	395
744	1150	393
745	1151	391
746	1152	390
747	1153	388
748	1154	386
749	1156	385
750	1157	383
751	1159	382
752	1160	380
753	1162	379
754	1163	377
755	1165	376
756	1166	374
757	1167	372
758	1168	371
759	1170	369
760	1173	368
761	1174	366
762	1175	365
763	1176	363
764	1178	361
765	1179	360
766	1180	358
767	1181	357
768	1182	355
769	1183	353
770	1185	352
771	1187	350
772	1189	349
773	1190	347
774	1192	346
775	1193	344
776	1194	342
777	1195	341
778	1196	339
779	1199	338
780	1200	336
781	1202	335
782	1204	333
783	1205	332
784	1206	330
785	1207	328
786	1208	327
787	1209	325
788	1210	323
789	1212	322
790	1213	320
791	1215	319
792	1216	317
793	1218	316
794	1220	314
795	1221	313
796	1222	311
797	1224	309
798	1225	308
799	1226	306
800	1227	304
801	1228	303
802	1230	301
803	1231	300
804	1233	298
805	1234	297
806	1236	295
807	1237	294
808	1239	292
809	1240	290
810	1241	289
811	1242	287
812	1243	286
813	1244	284
814	1245	282
815	1247	281
816	1249	279
817	1250	278
818	1252	276
819	1253	275
820	1255	273
821	1256	272
822	1258	270
823	1259	268
824	1260	267
825	1262	265
826	1263	264
827	1265	262
828	1266	261
829	1267	259
830	1268	258
831	1270	256
832	1271	254
833	1272	253
834	1273	251
835	1275	250
836	1276	248
837	1277	246
838	1279	245
839	1280	243
840	1282	242
841	1283	240
842	1284	239
843	1285	237
844	1287	236
845	1288	234
846	1289	232
847	1290	231
848	1292	229
849	1294	228
850	1295	226
851	1297	225
852	1298	223
853	1300	222
854	1301	220
855	1302	219
856	1304	217
857	1305	216
858	1306	214
859	1307	212
860	1309	211
861	1310	209
862	1312	208
863	1313	206
864	1315	205
865	1316	203
866	1317	202
867	1318	200
868	1320	199
869	1321	197
870	1323	196
871	1325	194
872	1326	193
873	1328	191
874	1329	189
875	1330	188
876	1332	186
877	1333	185
878	1334	183
879	1335	182
880	1337	180
881	1339	179
882	1340	177
883	1342	176
884	1343	174
885	1345	173
886	1346	171
887	1347	169
888	1349	168
889	1350	166
890	1351	165
891	1352	163
892	1354	162
893	1356	160
894	1358	159
895	1359	157
896	1360	156
897	1361	154
898	1362	153
899	1363	151
900	1364	149
901	1366	148
902	1367	146
903	1370	145
904	1371	143
905	1373	142
906	1374	140
907	1375	139
908	1376	137
909	1377	136
910	1379	134
911	1380	133
912	1381	131
913	1382	130
914	1384	128
915	1386	127
916	1388	125
917	1389	124
918	1391	122
919	1392	121
920	1393	119
921	1394	117
922	1395	116
923	1397	114
924	1398	113
925	1400	111
926	1401	110
927	1403	108
928	1404	107
929	1405	105
930	1406	104
931	1408	102
932	1409	101
933	1410	99
934	1411	98
935	1413	96
936	1415	95
937	1416	93
938	1418	92
939	1419	90
940	1420	89
941	1422	87
942	1423	86
943	1424	84
944	1425	82
945	1426	81
946	1428	79
947	1429	78
948	1431	76
949	1433	75
950	1434	73
951	1435	72
952	1436	70
953	1438	69
954	1439	67
955	1440	66
956	1441	64
957	1443	63
958	1445	61
959	1446	60
960	1448	58
961	1449	57
962	1451	55
963	1452	54
964	1453	52
965	1454	51
966	1455	49
967	1456	48
968	1458	46
969	1459	45
970	1461	43
971	1462	42
972	1463	40
973	1465	39
974	1466	37
975	1467	36
976	1468	34
977	1469	33
978	1471	31
979	1472	30
980	1473	28
981	1475	27
982	1476	25
983	1478	24
984	1479	22
985	1480	21
986	1482	19
987	1483	18
988	1484	16
989	1485	15
990	1486	13
991	1488	12
992	1489	10
993	1490	8
994	1491	7
995	1492	5
996	1494	4
997	1495	2
998	1496	1
999	1497	0
